Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Столoffка,кафе-столовая,Столовые; Кафе,,,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-19:00; Вс: 08:00-17:00,+07:00,4.1,22,89527486291,,,,,,,,,,,,,,,,53.698567,91.687988,https://2gis.com/firm/70000001025210591
Анаида,кафе,Кафе; Доставка готовых блюд,"улица Бограда, 104",1 этаж,655162,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+07:00,3.4,15,89185702222,,,,,,,,https://wa.me/79185702222,,,,,,,,53.82252,91.296634,https://2gis.com/firm/70000001036472689
"Заходи, генацвале",магазин-кулинария,Кулинарии; Пекарни; Кафе,"Абаканская улица, 37а",,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,2.7,28,83902264775,,,,,,,,,,,,,,,,53.695757,91.676753,https://2gis.com/firm/70000001033971104
Славянское,кафе,Кафе,"улица Юбилейная, 15",,655158,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+07:00,2.5,11,83903120929,,,,,,,,,,,,,,,,53.827931,91.330622,https://2gis.com/firm/9711414977510713
Тандыр,кафе,Кафе; Доставка готовых блюд,"Минусинск - Курагино - Артемовск 5 километр, 1",,,,,,Минусинский район,Красноярский край,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+07:00,3.9,63,89233559335,,,,,,,https://vk.com/kafe_tandir_mm,https://wa.me/79233559335,,,viber://chat/?number=79233559335,,https://t.me/+79233559335,,,53.721523,91.796013,https://2gis.com/firm/9711415978110234
Сибирь,кафе,Кафе; Банкетные залы,"Максима Горького, 6",,655162,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,"Пн: 12:00-14:00, 18:00-24:00; Вт: 12:00-14:00, 18:00-24:00; Ср: 12:00-14:00, 18:00-24:00; Чт: 12:00-14:00, 18:00-24:00; Пт: 12:00-14:00, 18:00-24:00; Сб: 12:00-14:00, 18:00-24:00; Вс: 12:00-14:00, 18:00-24:00 (по предварительному звонку: пн-вс)",+07:00,3.4,5,83903163777,89095266042,,,,,,,,,,,,,,,53.823138,91.291636,https://2gis.com/firm/9711414977505567
Азбука вкуса,кафе,Кафе; Банкетные залы,"Текстильный проезд, 12Б",,662606,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+07:00,5.0,4,89333300005,89134413375,,,,,,,https://wa.me/79134413375,,,viber://chat/?number=79134413375,,,,,53.698735,91.659098,https://2gis.com/firm/70000001048016925
Bellagio,кафе-бар,Кафе; Караоке-залы,"улица Кызыльская, 10",цокольный этаж,662610,Центральный,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-03:00,+07:00,2.5,4,89620752023,89832689077,,,,,,https://vk.com/public108867053,https://wa.me/79620752023,https://wa.me/79832689077,,,,,,,53.682047,91.695153,https://2gis.com/firm/70000001056669243
Наше,кафе,Кафе; Банкетные залы,"Советская, 75",1 этаж,655158,Майский м-н,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00; Сб: 11:00-17:00; Вс: 11:00-17:00,+07:00,3.7,3,83903124126,,,,,,,,,,,,,,,,53.829329,91.311623,https://2gis.com/firm/9711414977502641
Кафе китайской кухни,,Кафе,"улица Катанова, 12 ряд 1",1 ряд,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+07:00,4.8,9,89232138118,,,,,,,,,,,,,,,,53.727015,91.47164,https://2gis.com/firm/70000001059980961
Чалпан,кафе,Кафе,"Щорса, 5Б",1 этаж,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+07:00,5.0,1,83902215302,83902215102,,,,http://www.chalpan.ru,,https://vk.com/public49068293,https://wa.me/79235998846,,,,,https://t.me/+79235998846,,,53.724149,91.468059,https://2gis.com/firm/70000001065250023
Восторг,кафе,Кафе,"улица Игарская, 8/1",,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-15:00,+07:00,,,,,,,,,,,,,,,,,,,53.710459,91.391662,https://2gis.com/firm/70000001038067992
Кафе,,Кафе,"1-й Промышленный район, 3",,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+07:00,,,,,,,,,,,,,,,,,,,53.707228,91.355466,https://2gis.com/firm/70000001080885490
Ясная поляна,кафе,Кафе,"улица Ботаническая, 69",,,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,2.2,3,89135932469,89135118984,,,,,,https://vk.com/yaspolyana,https://wa.me/79135932469,https://wa.me/79135118984,,viber://chat/?number=79135118984,,,,,53.689222,91.649759,https://2gis.com/firm/70000001065229994
Орленок,Кафе,Кафе,,,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (рабочие месяцы: май-сентябрь),+07:00,1.0,2,,,,,,,,,,,,,,,,,53.721908,91.449785,https://2gis.com/firm/70000001063921995
Хуторянка,кафе,Кафе; Доставка готовых блюд,"улица Октябрьская, 66 к1",,662608,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-15:00,+07:00,4.2,10,89048961735,,,,,,,,,,,viber://chat/?number=79048961735,,,,,53.708603,91.698454,https://2gis.com/firm/9711414977550185
Кухня24,рестобар,Кафе; Доставка готовых блюд,"Абаканская улица, 70Б",,662610,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,2.9,27,89029454060,89535951007 (служба доставки: пн-вс 9:00-23:00),,,,,,https://vk.com/club200934229,,,,,,,,,53.688771,91.660757,https://2gis.com/firm/70000001046558169
Солнышко,кафе,Кафе; Доставка готовых блюд,"Федеральная трасса Р257 434 км, 2",,,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+07:00,1.8,9,89135765777,,,,,,,,https://wa.me/79135765777,,,,,,,,53.664878,91.683799,https://2gis.com/firm/70000001039927512
У Татьяны,кафе,Кафе,"улица Ленина, 100а",около Администрации г. Минусинск,662608,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00; Сб: 11:00-17:00; Вс: 11:00-17:00,+07:00,3.8,12,83913225333,89503052677,89135763440,,,,,,https://wa.me/79135763440,,,viber://chat/?number=79135763440,,https://t.me/+79135763440,,,53.707389,91.695532,https://2gis.com/firm/70000001020005878
Таверна,кафе,Кафе; Доставка готовых блюд; Быстрое питание,"улица Юбилейная, 7",1 этаж,655158,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,3.7,24,89135461270,,,,,http://taverna19.ru,,,https://wa.me/79532566214,,,viber://chat/?number=79532566314,viber://chat/?number=79532566214,,,,53.826498,91.326145,https://2gis.com/firm/70000001039102741
Burger Love,кафе,Кафе,"Ванеева, 11",1 этаж,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.3,6,89135594645,,,,,,,https://vk.com/burger_love24,https://wa.me/79135594645,,,,,https://t.me/+79135594645,,,53.691113,91.673281,https://2gis.com/firm/70000001069159516
Колосок,кафе,Кафе; Доставка готовых блюд,"улица Ленина, 56",цокольный этаж,662608,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+07:00,4.7,7,83913251080,,,,,http://www.pkkolosok.ru,,,,,,,,,,,53.711729,91.683951,https://2gis.com/firm/9711415977842465
Burger,кафе,Кафе; Доставка готовых блюд,"Аскизская улица, 152/1",,655009,МПС м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,3.9,37,89628437770,,,,,,,https://vk.com/burger_abakan,https://wa.me/79628437770,,,,,https://t.me/burger_abakan,,,53.696772,91.411679,https://2gis.com/firm/70000001063461599
Пекарня-пельменная,,Пекарни; Кафе,"улица Кирпичная, 11",1 этаж,655670,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,,,89503035893,,,,,,,,https://wa.me/79503035893,https://wa.me/79029193435,,,,,,,53.686937,91.508637,https://2gis.com/firm/70000001077249060
"Мир Амор, кафе",,Кафе,"Хакасская, 7Б",,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 04:00-23:00,+07:00,,,,,,,,,,,,,,,,,,,53.721719,91.465468,https://2gis.com/firm/70000001080091982
Гиссар,кафе,Быстрое питание,"Абаканская улица, 51 к11",,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.8,22,89535817131,,,,,,,,https://wa.me/79535817131,,,,,,,,53.693116,91.673877,https://2gis.com/firm/70000001041686379
Пляжный рай,кафе,Кафе,"Экопляж, 2",,655145,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,4.8,32,89233982132,89831997316,,,,,,,https://wa.me/79233982132,https://wa.me/79831997316,,,,,,,53.674473,91.330225,https://2gis.com/firm/70000001075594267
Сокол,закусочная,Кафе,"улица Мира, 034",,655152,Южный промузел,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+07:00,2.0,3,83903122444,,,,,,,,,,,,,,,,53.814808,91.319672,https://2gis.com/firm/70000001026574621
Гурман,кафе,Кафе,"Абаканская улица, 72",1 этаж,662610,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-16:00,+07:00,4.0,4,89659162675,,,,,,,https://vk.com/gurman.minusinsk,https://wa.me/79230184346,,,viber://chat/?number=79230184346,,https://t.me/+79230184346,,,53.688771,91.659897,https://2gis.com/firm/9711415978030535
Минутка,кафе,Кафе; Доставка готовых блюд,"улица Дзержинского, 22а",1 этаж,655158,Южный м-н,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-16:00; Вс: 08:00-16:00,+07:00,3.7,6,83903121897,89135405035,83903123635,,,,,,https://wa.me/79135405035,https://wa.me/79831990340,,,,,,,53.829288,91.315171,https://2gis.com/firm/70000001025474337
Чемпион,кафе,Быстрое питание,"улица Катанова, 10",2 этаж,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,0.0,1,,,,,,,,https://vk.com/abakanchampion,,,,,,,,,53.726001,91.472767,https://2gis.com/firm/70000001074650491
Закусочная,,Кафе; Доставка готовых блюд,"проспект Космонавтов, 35",1 этаж,655158,Майский м-н,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+07:00,1.6,7,89832602397,,,,,,,,https://wa.me/79095277574,,,,,,,,53.831935,91.319656,https://2gis.com/firm/70000001048033322
Creppers cafe,,Кафе; Доставка готовых блюд,"Советская, 46",1 этаж,655162,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 11:30-21:30; Вт: 11:30-21:30; Ср: 11:30-21:30; Чт: 11:30-21:30; Пт: 11:30-21:30; Сб: 11:30-21:30; Вс: 11:30-21:30,+07:00,1.0,7,83903135025,,,,,,,,,,,,,,,,53.82439,91.298966,https://2gis.com/firm/70000001023901077
