Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Skype,Широта,Долгота,2GIS URL
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Будённого, 31 к1 ст1",1 этаж,198515,Сосновая Поляна,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.6,23,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.851684,30.093586,https://2gis.com/firm/70000001058978747
Магнит,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Моховая, 37",цокольный этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:10-23:45; Вт: 00:10-23:45; Ср: 00:10-23:45; Чт: 00:10-23:45; Пт: 00:10-23:45; Сб: 00:10-23:45; Вс: 00:10-23:45,+03:00,2.4,17,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.940136,30.344935,https://2gis.com/firm/70000001051312024
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"проспект Большевиков, 32 к2 лит А",,193232,Муниципальный округ №54,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.8,42,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.895709,30.493277,https://2gis.com/firm/70000001035984269
Swed House,магазин,Корпусная мебель; Постельные принадлежности / Текстиль для дома; Посуда; Мебель для кухни; Мягкая мебель,"Шереметьевская, 15",1 этаж,196210,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,2.9,11,,,,,,,,,,https://vk.com/swed_house,,,,,,,,,,,59.806006,30.321496,https://2gis.com/firm/70000001080231130
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Коломяжский проспект, 17 к1",1 этаж,197341,Комендантский аэродром,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,52,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,60.005476,30.298692,https://2gis.com/firm/70000001044566596
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"набережная канала Грибоедова, 122",1 этаж,190068,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (технический перерыв: пн-вс 23:45-0:05),+03:00,3.1,17,89650922503,88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.920521,30.297596,https://2gis.com/firm/5348552840925221
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Литейный проспект, 43",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.9,15,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.939059,30.348019,https://2gis.com/firm/70000001022070946
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Бухарестская, 32",1 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.2,23,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.882467,30.371349,https://2gis.com/firm/70000001034277289
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Партизана Германа, 2",1 этаж,198205,Урицк,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.3,62,88124491056,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.843882,30.179985,https://2gis.com/firm/70000001023472898
Росал,супермаркет напитков,Алкогольные напитки; Магазины разливного пива; Супермаркеты,"Гороховая, 68",1 этаж,191180,Семёновский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.5,5,88127401155 (единая справочная: пн-пт 10:00-18:00),,,,,http://rosal24.ru,,,,https://vk.com/rosal24_spb,,,,,,https://t.me/RosAl_Admin_bot,,,,,59.922435,30.331358,https://2gis.com/firm/70000001030960771
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Лиговский проспект, 153 лит А",цокольный этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.0,13,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.915021,30.348064,https://2gis.com/firm/70000001062600758
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Шереметьевская, 11 лит А",1 этаж,196210,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,18,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.808205,30.320202,https://2gis.com/firm/70000001058977500
Мини Лента,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Маркина, 3",1 этаж,197198,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.0,11,88007004111 (горячая линия: круглосуточно),88123854111 (горячая линия: круглосуточно),,,,http://mini.lenta.com,http://lenta.com,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.956297,30.30823,https://2gis.com/firm/70000001060838365
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Марата, 86",1 этаж,191119,Семёновский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.5,35,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.919082,30.339469,https://2gis.com/firm/5348552838575381
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Кронверкская, 5",1 этаж,197101,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.8,60,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.958287,30.312922,https://2gis.com/firm/5348552838575262
ВкусВилл,магазин с доставкой полезных продуктов,Супермаркеты; Доставка продуктов / хозтоваров; Доставка готовых блюд,"набережная канала Грибоедова, 50",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.2,22,89215823401,84956638602 (горячая линия: пн-вс 9:00-21:00),,info@izbenka.msk.ru,,http://spb.vkusvill.ru/?utm_campaign=2gis_maps&utm_content=glavnaya&utm_medium=spravochnik&utm_source=2gis,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://youtube.com/channel/UC8f84TEqxTcS6LGv9Lbi8uw,,59.928142,30.315871,https://2gis.com/firm/70000001040052630
Ароматный мир,винный супермаркет,Алкогольные напитки; Супермаркеты,"Казанская, 2",1 этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.1,7,"88123216060 (доп.5287, многоканальный)",,,,,http://amwine.ru,,,https://twitter.com/amwineru,https://vk.com/amwineru,,,,,,https://t.me/amwineru,,,,,59.933699,30.323015,https://2gis.com/firm/70000001044776781
Красное&Белое,магазин,Алкогольные напитки; Продуктовые магазины,"Моховая, 16",1 этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,3.8,12,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.944167,30.345391,https://2gis.com/firm/70000001039436202
Семишагофф,супермаркет,Супермаркеты,"Планерная улица, 25 к1 лит А",1 этаж,197372,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,18,88126485000 (горячая линия: пн-вс 9:00-21:00),,,,,http://semishagoff.org,,,,https://vk.com/7shagoff,,,,,,https://t.me/semishagoff7,,,,,60.005467,30.236615,https://2gis.com/firm/70000001066931903
